id,X,Y,p
e1,3149.022461,3213.578125,70
e2,2729.839111,3136.389893,70
e3,2835.215088,2931.914307,70
e4,2753.41525,3071.34775,69.4
e5,2805.7035,2957.28075,68.6
e6,2900.22825,3016.001,66.7
e7,2873.0115,3052.862,66.68
e8,2881.27875,3080.8315,66.65
e9,2904.3475,3058.0895,66.64
e10,2960.0785,3072.46,66.4
e11,2801.39825,3025.74375,68
e12,2824.43675,3045.925,68
e13,2781.4765,3046.801,68
e14,2730.3635,2959.133279,68.6
